id,name,oldRarity,oldRarityLabel,newRarity,newRarityLabel
195,Maraiste,rare,Rare,uncommon,Peu commun
200,Feuforêve,rare,Rare,uncommon,Peu commun
201,Zarbi,unknown,Inconnu,common,Commun
210,Granbull,rare,Rare,epic,Épique
211,Qwilfish,common,Commun,uncommon,Peu commun
212,Cizayox,epic,Épique,mythic,Mythique
213,Caratroc,uncommon,Peu commun,very_rare,Très rare
215,Farfuret,uncommon,Peu commun,rare,Rare
216,Teddiursa,uncommon,Peu commun,very_rare,Très rare
223,Rémoraid,common,Commun,uncommon,Peu commun
226,Démanta,rare,Rare,epic,Épique
228,Malosse,uncommon,Peu commun,rare,Rare
229,Démolosse,rare,Rare,very_rare,Très rare
231,Phanpy,common,Commun,rare,Rare
233,Porygon2,epic,Épique,mythic,Mythique
234,Cerfrousse,common,Commun,uncommon,Peu commun
235,Queulorior,rare,Rare,uncommon,Peu commun
236,Debugant,rare,Rare,epic,Épique
237,Kapoera,very_rare,Très rare,ultra_rare,Ultra-Rare
238,Lippouti,rare,Rare,epic,Épique
239,Élekid,rare,Rare,epic,Épique
240,Magby,rare,Rare,epic,Épique
241,Écrémeuh,common,Commun,rare,Rare
248,Tyranocif,epic,Épique,mythic,Mythique
