id,name,rarity,finalScore,appliedRule,oneTimeOnly,flooredByChain,flooredByBaseStats,flooredByBaseStatBonus,flooredByFossilChain,baseStatTotal,maxEncounterChance,gamesCount,locationsCount,easiestMethod,evolutionDepth
300,Skitty,common,13.50,composite,false,false,false,false,false,260,100,5,7,walk,0
301,Delcatty,rare,,priority:no_encounters_inherits_parent,false,false,false,false,false,400,,0,0,,1
302,Ténéfix,uncommon,23.25,composite,false,false,false,false,false,380,35,3,9,walk,0
303,Mysdibule,uncommon,25.50,composite,false,false,false,false,false,380,35,3,6,walk,0
304,Galekid,uncommon,18.75,composite,false,false,false,false,false,330,40,5,10,walk,0
305,Galegon,rare,42.00,composite,false,false,false,false,false,430,25,3,3,walk,1
306,Galeking,epic,,priority:no_encounters_inherits_parent,false,false,false,true,false,530,,0,0,,2
307,Méditikka,uncommon,25.50,composite,false,false,false,false,false,280,35,4,6,walk,0
308,Charmina,very_rare,51.37,composite,false,false,false,false,false,410,15,2,2,walk,1
309,Dynavolt,common,12.75,composite,false,false,false,false,false,295,60,5,8,walk,0
310,Élecsprint,very_rare,57.75,composite,false,false,false,false,false,475,10,3,3,walk,1
311,Posipi,common,14.75,composite,false,false,false,false,false,405,100,5,6,walk,0
312,Négapi,uncommon,23.00,composite,false,false,false,false,false,405,40,5,5,walk,0
313,Muciole,rare,43.50,composite,false,false,false,false,false,430,18,3,3,walk,0
314,Lumivole,rare,43.50,composite,false,false,false,false,false,430,18,3,3,walk,0
315,Rosélia,rare,32.63,composite,false,false,false,false,false,400,35,4,4,walk,1
316,Gloupti,rare,42.75,composite,false,false,false,false,false,302,15,3,3,walk,0
317,Avaltout,very_rare,,priority:no_encounters_inherits_parent,false,false,false,false,false,467,,0,0,,1
318,Carvanha,uncommon,21.75,composite,false,false,false,false,false,305,100,3,6,good-rod,0
319,Sharpedo,uncommon,24.75,composite,false,false,false,false,false,460,40,5,47,super-rod,1
320,Wailmer,common,7.50,composite,false,false,false,false,false,400,100,3,90,good-rod,0
321,Wailord,ultra_rare,64.50,composite,false,false,false,true,false,500,1,3,3,surf,1
322,Chamallot,common,9.00,composite,false,false,false,false,false,305,75,5,13,walk,0
323,Camérupt,very_rare,55.12,composite,true,false,false,false,false,460,100,2,2,gift,1
324,Chartor,rare,37.75,composite,false,false,false,false,false,470,30,3,4,walk,0
325,Spoink,uncommon,26.25,composite,false,false,false,false,false,330,35,5,5,walk,0
326,Groret,rare,,priority:no_encounters_inherits_parent,false,false,false,false,false,470,,0,0,,1
327,Spinda,common,15.00,composite,false,false,false,false,false,360,95,5,5,walk,0
328,Kraknoix,uncommon,15.75,composite,false,false,false,false,false,290,50,3,4,walk,0
329,Vibraninf,rare,,priority:no_encounters_inherits_parent,false,false,false,false,false,340,,0,0,,1
330,Libégon,epic,,priority:no_encounters_inherits_parent,false,false,false,true,false,520,,0,0,,2
331,Cacnea,rare,39.00,composite,false,false,false,false,false,335,20,3,3,walk,0
332,Cacturne,very_rare,,priority:no_encounters_inherits_parent,false,false,false,false,false,475,,0,0,,1
333,Tylton,common,9.75,composite,false,false,false,false,false,310,100,5,12,walk,0
334,Altaria,epic,62.25,composite,false,false,false,false,false,490,6,3,3,walk,1
335,Mangriff,very_rare,53.30,composite,false,false,false,false,false,458,19,1,1,walk,0
336,Séviper,very_rare,49.42,composite,false,false,false,false,false,458,19,2,2,walk,0
337,Séléroc,rare,41.50,composite,false,false,false,false,false,460,35,1,1,walk,0
338,Solaroc,rare,37.63,composite,false,false,false,false,false,460,35,2,2,walk,0
339,Barloche,common,15.00,composite,false,false,false,false,false,288,100,3,15,good-rod,0
340,Barbicha,very_rare,54.80,composite,false,false,false,false,false,468,20,3,6,super-rod,1
341,Écrapince,uncommon,19.50,composite,false,false,false,false,false,308,100,3,9,good-rod,0
342,Colhomard,rare,,priority:no_encounters_inherits_parent,false,false,false,false,false,468,,0,0,,1
343,Balbuto,rare,36.00,composite,false,false,false,false,false,300,24,3,3,walk,0
344,Kaorine,very_rare,39.00,composite,false,false,false,true,false,500,25,3,3,walk,1
345,Lilia,ultra_rare,41.50,composite,true,true,false,false,true,355,100,3,3,gift,0
346,Vacilys,mythic,,priority:no_encounters_inherits_parent,false,false,false,false,false,495,,0,0,,1
347,Anorith,ultra_rare,41.50,composite,true,true,false,false,true,355,100,3,3,gift,0
348,Armaldo,mythic,,priority:no_encounters_inherits_parent,false,false,false,false,false,495,,0,0,,1
349,Barpau,uncommon,27.75,composite,false,false,false,false,false,200,50,3,3,feebas-tile-fishing,0
350,Milobellus,epic,,priority:no_encounters_inherits_parent,false,false,false,true,false,540,,0,0,,1
351,Morphéo,epic,42.00,composite,true,true,false,false,false,420,100,5,5,gift,0
352,Kecleon,rare,37.75,composite,false,false,false,false,false,440,5,5,29,walk,0
353,Polichombr,common,9.00,composite,false,false,false,false,false,295,100,5,13,walk,0
354,Branette,very_rare,55.87,composite,false,false,false,false,false,455,15,2,2,walk,1
355,Skelénox,common,15.00,composite,false,false,false,false,false,295,100,3,5,walk,0
356,Téraclope,very_rare,59.75,composite,false,false,false,false,false,455,15,1,1,walk,1
357,Tropius,very_rare,53.25,composite,false,false,false,false,false,460,9,3,3,walk,0
358,Éoko,epic,63.63,composite,false,false,false,false,false,455,2,3,3,walk,1
359,Absol,very_rare,54.50,composite,false,false,false,false,false,465,8,3,3,walk,0
360,Okéoké,common,10.50,composite,false,false,false,false,false,260,100,5,11,walk,0
361,Stalgamin,rare,45.00,composite,false,false,false,false,false,300,10,5,5,walk,0
362,Oniglali,very_rare,,priority:no_encounters_inherits_parent,false,false,false,false,false,480,,0,0,,1
363,Obalie,common,15.00,composite,false,false,false,false,false,290,60,5,5,walk,0
364,Phogleur,uncommon,,priority:no_encounters_inherits_parent,false,false,false,false,false,410,,0,0,,1
365,Kaimorse,very_rare,,priority:no_encounters_inherits_parent,false,false,false,true,false,530,,0,0,,2
366,Coquiperl,uncommon,25.50,composite,false,false,false,false,false,345,65,3,6,seaweed,0
367,Serpang,epic,,priority:no_encounters_inherits_parent,false,false,false,false,false,485,,0,0,,1
368,Rosabyss,epic,,priority:no_encounters_inherits_parent,false,false,false,false,false,485,,0,0,,1
369,Relicanth,epic,67.75,composite,false,false,false,false,false,485,5,3,6,seaweed,0
370,Lovdisc,uncommon,29.25,composite,false,false,false,false,false,330,40,3,6,good-rod,0
371,Draby,rare,33.75,composite,false,false,false,false,false,300,25,5,5,walk,0
372,Drackhaus,very_rare,,priority:no_encounters_inherits_parent,false,false,false,false,false,420,,0,0,,1
373,Drattak,mythic,,priority:no_encounters_inherits_parent,false,false,true,false,false,600,,0,0,,2
374,Terhal,epic,40.00,composite,true,true,false,false,false,300,100,5,5,gift,0
375,Métang,ultra_rare,,priority:no_encounters_inherits_parent,false,false,false,false,false,420,,0,0,,1
376,Métalosse,mythic,,priority:no_encounters_inherits_parent,false,false,false,false,false,600,,0,0,,2
377,Regirock,legendary,,priority:is_legendary,false,false,false,false,false,580,100,5,5,only-one,0
378,Regice,legendary,,priority:is_legendary,false,false,false,false,false,580,100,5,5,only-one,0
379,Registeel,legendary,,priority:is_legendary,false,false,false,false,false,580,100,5,5,only-one,0
380,Latias,legendary,,priority:is_legendary,false,false,false,false,false,600,25,5,6,roaming-grass,0
381,Latios,legendary,,priority:is_legendary,false,false,false,false,false,600,25,5,6,roaming-grass,0
382,Kyogre,legendary,,priority:is_legendary,false,false,false,false,false,670,100,3,3,only-one,0
383,Groudon,legendary,,priority:is_legendary,false,false,false,false,false,670,100,3,3,only-one,0
384,Rayquaza,legendary,,priority:is_legendary,false,false,false,false,false,680,100,5,5,only-one,0
385,Jirachi,legendary,,priority:is_mythical,false,false,false,false,false,600,100,2,2,colosseum-bonus-disc-us,0
386,Deoxys,legendary,,priority:is_mythical,false,false,false,false,false,600,100,5,5,only-one,0
